item_id,category
orange-crowned-warbler,Bird
orange-crowned-warbler,NC Knowledge Concern
orange-crowned-warbler,Species
orchard-oriole,Bird
orchard-oriole,Species
osprey,Bird
osprey,Species
ovenbird,Bird
ovenbird,Species
pectoral-sandpiper,Bird
pectoral-sandpiper,Species
peregrine-falcon,Bird
peregrine-falcon,NC Management Concern
peregrine-falcon,NC SGCN
peregrine-falcon,Species
pine-siskin,Bird
pine-siskin,NC Knowledge Concern
pine-siskin,NC Management Concern
pine-siskin,Species
pine-warbler,Bird
pine-warbler,Species
prairie-warbler,Bird
prairie-warbler,NC SGCN
prairie-warbler,Species
prothonotary-warbler,Bird
prothonotary-warbler,NC SGCN
prothonotary-warbler,Species
red-bellied-woodpecker,Bird
red-bellied-woodpecker,Species
red-breasted-merganser,Bird
red-breasted-merganser,NC Management Concern
red-breasted-merganser,Species
red-breasted-nuthatch,Bird
red-breasted-nuthatch,NC Knowledge Concern
red-breasted-nuthatch,Species
reddish-egret,Bird
reddish-egret,NC Knowledge Concern
reddish-egret,NC Management Concern
reddish-egret,Species
ncwap15-4.3.2-conservation-programs-and-partnerships-priority-1,Priority
ncwap15-4.3.2-conservation-programs-and-partnerships-priority-1,NCWAP15 Priority
ncwap15-4.3.2-conservation-programs-and-partnerships-priority-1,Conservation Programs And Partnerships Priority
ncwap15-4.3.2-conservation-programs-and-partnerships-priority-2,Priority
ncwap15-4.3.2-conservation-programs-and-partnerships-priority-2,NCWAP15 Priority
ncwap15-4.3.2-conservation-programs-and-partnerships-priority-2,Conservation Programs And Partnerships Priority
ncwap15-4.3.5-conservation-programs-and-partnerships-priority-3,Priority
ncwap15-4.3.5-conservation-programs-and-partnerships-priority-3,NCWAP15 Priority
ncwap15-4.3.5-conservation-programs-and-partnerships-priority-3,Conservation Programs And Partnerships Priority
ncwap15-4.3.3-conservation-programs-and-partnerships-priority-4,Priority
ncwap15-4.3.3-conservation-programs-and-partnerships-priority-4,NCWAP15 Priority
ncwap15-4.3.3-conservation-programs-and-partnerships-priority-4,Conservation Programs And Partnerships Priority
ncwap15-4.3.5-conservation-programs-and-partnerships-priority-5,Priority
ncwap15-4.3.5-conservation-programs-and-partnerships-priority-5,NCWAP15 Priority
ncwap15-4.3.5-conservation-programs-and-partnerships-priority-5,Conservation Programs And Partnerships Priority
ncwap15-4.3.5-conservation-programs-and-partnerships-priority-6,Priority
ncwap15-4.3.5-conservation-programs-and-partnerships-priority-6,NCWAP15 Priority
ncwap15-4.3.5-conservation-programs-and-partnerships-priority-6,Conservation Programs And Partnerships Priority
ncwap15-4.3.5-conservation-programs-and-partnerships-priority-7,Priority
ncwap15-4.3.5-conservation-programs-and-partnerships-priority-7,NCWAP15 Priority
ncwap15-4.3.5-conservation-programs-and-partnerships-priority-7,Conservation Programs And Partnerships Priority
ncwap15-4.3.5-conservation-programs-and-partnerships-priority-8,Priority
ncwap15-4.3.5-conservation-programs-and-partnerships-priority-8,NCWAP15 Priority
ncwap15-4.3.5-conservation-programs-and-partnerships-priority-8,Conservation Programs And Partnerships Priority
ncwap15-4.3.4-conservation-programs-and-partnerships-priority-9,Priority
ncwap15-4.3.4-conservation-programs-and-partnerships-priority-9,NCWAP15 Priority
